"<p class='note'><b>RETURN OPTIONS</b></p>","<p class='note'><b>RETOUR À LA BOUTIQUE</b></p>"
"Automatic redirection","Redirection automatique"
"Automatically redirect client to the shop at the end of the payment process","Rediriger automatiquement le client vers la boutique à la fin du processus de paiement"
"If automatic redirection is enabled","Si la redirection automatique est activée"
"Success redirection timeout","Délai avant redirection (paiement réussi)"
"Success redirection message","Message affiché avant redirection (paiement réussi)"
"Error redirection timeout","Délai avant redirection (paiement échoué)"
"Error redirection message","Message affiché avant redirection (paiement échoué)"
"Return mode","Mode de retour"
"How the client transmit payment process result","Façon dont le client transmet le résultat du paiement"
"Check URL","URL serveur"
"URL to paste in Systempay backoffice","URL à copier dans l'outil de gestion de caisse Systempay"
"Refill cart on failure","Remplir le panier en cas d'échec"
"Re-create the cart after a payment failure (fix magento behaviour)","Re-créer le panier après un paiement échoué (corrige le comportement de Magento)"
"Registered orders status","Statut des commandes enregistrées"
"Status of orders when payment is successfull.","Statut des commandes dont le paiement a réussi."
"Invoice creation","Création de la facture"
"Automatically create invoice when payment is successfull.","Créer la facture automatiquement si le paiement a réussi."
"<p class='note'><b>MULTI PAYMENT OPTIONS</b></p>","<p class='note'><b>OPTIONS DE PAIEMENT MULTIPLE</b></p>"
"Payment options","Options de paiement"
"Add","Ajouter"
"Label","Libellé"
"Mini amount","Montant mini"
"Maxi amount","Montant maxi"
"Count","Nombre"
"Period","Période"
"1st payment","1er paiement"
"Contract","Contrat"
"Click on Add button to configure one or more payment options. <br /><b>Label : </b>The option label to display on the frontend. <br /><b>Minimum amount : </b>Minimum amount to enable the payment option. <br /><b>Maximum amount : </b>Maximum amount to enable the payment option. <br /><b>Contract : </b>ID of the contract to use with the option. <br /><b>Count : </b>Total number of payments. <br /><b>Period : </b>Delay (in days) between payments. <br /><b>1st payment : </b>Amount of first payment, in percentage of total amount. If empty, all payments will have the same amount.","Cliquer sur le bouton Ajouter pour configurer une ou plusieurs options de paiement. <br /><b>Libellé : </b>Texte décrivant l'option de paiement multiple. <br /><b>Montant mini : </b>Montant minimum pour proposer l'option. <br /><b>Montant maxi : </b>Montant maximum pour proposer l'option. <br /><b>Contrat : </b>ID du contrat à utiliser avec l'option. <br /><b>Nombre : </b>Nombre total d'échéances. <br /><b>Période : </b>Délai entre deux échéances (en jours). <br /><b>1er paiement : </b>Montant de la première échéance en pourcentage du total. Si vide, toutes les échéances auront le même montant."
"French","Français"
"German","Allemand"
"English","Anglais"
"Spanish","Espagnol"
"Chinese","Chinois"
"Italian","Italien"
"Japanese","Japonnais"
"Portuguese","Portugais"
"Dutch","Néerlandais"
"Back office configuration","Configuration outil gestion de caisse"
"Automatic","Automatique"
"Manual","Manuelle"
"Yes","Oui"
"No","Non"
"ALL","TOUTES"
"GET (parameters in the URL)","GET (paramètres dans l'URL)"
"POST (form)","POST (formulaire)"
"Transaction ID","Numéro de transaction"
"Credit Card Number","Numéro de carte de crédit"
"CVV","CVV"
"Expiration Date","Date d'expiration"
"Payment Mean","Moyen de paiement"
"Amount Paid","Montant payé"
"Sequence Number","Numéro de séquence"
"Transaction Status","Status de la transaction"
"Extra Transaction ID","Référence externe"
"You will be redirected to the payment page after the order confirmation.","Vous allez être redirigé(e) vers la page de paiement après confirmation de la commande."
"Please wait a moment. This page will transfer your data to Systempay payment gateway in a few seconds.","Veuillez patienter SVP, vous allez être redirigé(e) vers la plateforme de paiement Systempay dans quelques secondes."
"If nothing happens in 10 seconds, click the button below.","Si rien ne se passe dans 10 secondes, cliquez sur le bouton ci-dessous."
"Please wait a moment. Your order payment is now processing.","Veuillez patienter SVP. Le paiement de votre commande est en cours."
"Send","Envoyer"
"Incorrect credit card number.","Numéro de carte de crédit incorrect."
"Incorrect credit card CVV.","CVV de la carte incorrect."
"Incorrect credit card expiration date.","Date d'expiration de la carte incorrecte."
"The field &laquo;%s&raquo; is invalid: please check &laquo;%s&raquo; of the option %s.","Le champ &laquo;%s&raquo; est invalide: veuillez vérifier &laquo;%s&raquo; de l'option %s."
"The configuration of the Systempay module has been successfully reset.","La configuration du module Systempay a été réinitialisée avec succès."
"Payment Method","Méthode de paiement"
"Gift Card Types","Types de cartes cadeau"
"Select the gift card type(s) that can be used for the payment","Sélectionner les types de carte cadeau qui pourront être utilisés pour le paiement"
"Card Code","Code de la carte"
"Card Label","Libellé de la carte"
"Add cards","Ajouter des cartes"
"Click on button to add one or more new gift cards. <br /><b>Card Code : </b>The Systempay exact gift card code. <br /><b>Card Label : </b>The label of the new gift card.","Cliquer sur le bouton pour ajouter une ou plusieurs nouvelles cartes cadeau. <br /><b>Code de la carte : </b>Le code Systempay de la nouvelle carte cadeau. <br /><b>Libellé de la carte : </b>Le libellé de la nouvelle carte cadeau."
